split,dimension,group,points,mae_cur_dev_s,mae_zero_s
train,cohort,all,4434,93.0324763,97.1684709
train,cohort,real,1141,86.8378615,89.8063103
train,cohort,synthetic_candidate,3293,95.1788643,99.7194048
train,class,early,679,107.723122,125.053019
train,class,late,998,123.027054,236.734469
train,class,ontime,2757,78.5567646,39.7798332
train,hour,0,11,24.5454545,46.0909091
train,hour,2,100,49.67,52.64
train,hour,3,203,67.2758621,85.8768473
train,hour,4,222,84.1486486,104.711712
train,hour,5,183,99.5628415,86.5519126
train,hour,6,226,77.7743363,67.7610619
train,hour,7,270,97.7777778,128.296296
train,hour,8,228,100.276316,89.4166667
train,hour,9,223,93.0986547,76.2242152
train,hour,10,194,113.963918,90.4381443
train,hour,11,278,103.870504,87.2625899
train,hour,12,272,118.246324,108.621324
train,hour,13,244,89.6557377,89.3401639
train,hour,14,238,63.8697479,88.7563025
train,hour,15,238,86.0798319,85.5252101
train,hour,16,256,79.9179688,73.7890625
train,hour,17,231,113.168831,104.329004
train,hour,18,162,128.450617,207.62963
train,hour,19,107,161.579439,188.411215
train,hour,20,182,104.39011,152.054945
train,hour,21,175,93.0685714,82.8457143
train,hour,22,112,43.5803571,33.7946429
train,hour,23,79,44.7088608,48.6962025
test,cohort,all,353,93.3597734,103.33711
test,cohort,real,353,93.3597734,103.33711
test,class,early,49,102.44898,130.122449
test,class,late,86,130.139535,240.651163
test,class,ontime,218,76.8073394,43.146789
test,hour,2,10,91,121.6
test,hour,3,16,49.25,160.125
test,hour,4,18,120.333333,143.222222
test,hour,5,12,103,90.25
test,hour,6,18,73.6111111,54.5555556
test,hour,7,24,127.541667,186.625
test,hour,8,23,111.695652,71.9130435
test,hour,9,15,118.666667,78.7333333
test,hour,10,12,135,125.416667
test,hour,11,24,83.5833333,71.5
test,hour,12,20,121.9,94.75
test,hour,13,24,68.25,109.25
test,hour,14,14,59.4285714,87.5
test,hour,15,20,75.15,50.95
test,hour,16,24,80.625,67.9583333
test,hour,17,17,126.176471,152.176471
test,hour,18,11,91.9090909,147.090909
test,hour,19,12,89.9166667,92.4166667
test,hour,20,13,129,182.076923
test,hour,21,12,66,80.0833333
test,hour,22,8,55.625,61
test,hour,23,6,0,0
