split,check,failures,total,severity
train,traffic_duplicate_packet_id,0,287849,error
train,traffic_missing_packet_id,0,287849,error
train,schedule_duplicate_tt_action_item_id,0,16674,error
train,schedule_missing_tt_action_item_id,0,16674,error
train,points_duplicate_sample_id,0,4434,error
train,points_missing_sample_id,0,4434,error
train,traffic_missing_time,0,287849,error
train,schedule_missing_time,0,16674,error
train,points_missing_time,0,4434,error
train,target_schedule_missing,0,4434,error
train,target_vehicle_mismatch,0,4434,error
train,target_plan_time_mismatch,0,4434,error
train,horizon_outside_open_600_closed_900,0,4434,error
train,target_delay_mismatch_or_missing,0,4434,error
test,traffic_duplicate_packet_id,0,105945,error
test,traffic_missing_packet_id,0,105945,error
test,schedule_duplicate_tt_action_item_id,0,5558,error
test,schedule_missing_tt_action_item_id,0,5558,error
test,points_duplicate_sample_id,0,353,error
test,points_missing_sample_id,0,353,error
test,traffic_missing_time,0,105945,error
test,schedule_missing_time,0,5558,error
test,points_missing_time,0,353,error
test,target_schedule_missing,0,353,error
test,target_vehicle_mismatch,0,353,error
test,target_plan_time_mismatch,0,353,error
test,horizon_outside_open_600_closed_900,0,353,error
test,target_delay_mismatch_or_missing,0,353,error
validate,traffic_duplicate_packet_id,0,105945,error
validate,traffic_missing_packet_id,0,105945,error
validate,schedule_duplicate_tt_action_item_id,0,5558,error
validate,schedule_missing_tt_action_item_id,0,5558,error
validate,points_duplicate_sample_id,0,151,error
validate,points_missing_sample_id,0,151,error
validate,traffic_missing_time,0,105945,error
validate,schedule_missing_time,0,5558,error
validate,points_missing_time,0,151,error
validate,target_schedule_missing,0,151,error
validate,target_vehicle_mismatch,0,151,error
validate,target_plan_time_mismatch,0,151,error
validate,horizon_outside_open_600_closed_900,0,151,error
validate,validate_contains_target_column,0,1,error
validate,template_duplicate_ids,0,151,error
validate,template_id_set_difference,0,151,error
validate,template_nonfinite_prediction,0,151,error
