rank,feature,importance,label
1,cur_dev_s,17.387,"Текущее отклонение от графика, сек"
2,tgt_left_in_trip,5.7,Остановок до конца рейса от цели
3,route,4.917,Маршрут
4,n_stops_between,4.686,Остановок между текущей и целевой
5,hour_sin,4.201,Час дня (циклическая компонента)
6,plan_speed_kmh,3.629,"Плановая средняя скорость, км/ч"
7,cur_idx_in_trip,3.535,Текущая позиция ТС в рейсе
8,n_pkt15,3.476,Пакетов телеметрии за 15 мин
9,hour_cos,3.294,Час дня (циклическая компонента)
10,hour,2.854,Час дня
11,dist_tgt_m,2.617,"Расстояние до цели по GPS, м"
12,gps_trip_first_dev,2.474,"GPS-отклонение на первой остановке рейса, сек"
13,tgt_idx_in_trip,2.252,Порядковый номер цели в рейсе
14,n_trip_breaks,2.239,Разрывов плана > 5 мин на маршруте
15,moving_spd15,1.899,"Скорость в движении за 15 мин, м/с"
16,gps_min5,1.784,"Минимум GPS-задержек за 5 остановок, сек"
17,gps_n,1.772,GPS-пингов за окно
18,gps_n_trip,1.587,GPS-пингов на текущем рейсе
19,gps_dev_minus_cur,1.516,GPS минус cur_dev_s (свежесть отклонения)
20,plan_gap_break_to_tgt_s,1.448,"От смены рейса до цели по плану, сек"
