split,hour,rows,vehicles,valid_location
train,0,3939,20,2835
train,1,3596,25,1561
train,2,8802,33,6238
train,3,11526,30,9883
train,4,11880,34,10530
train,5,12126,37,11034
train,6,13349,42,12054
train,7,15581,40,14434
train,8,13847,40,12801
train,9,14848,38,12327
train,10,13960,38,12715
train,11,15002,40,12552
train,12,14678,46,12925
train,13,13700,40,10666
train,14,14765,40,13246
train,15,14932,40,11406
train,16,15011,37,13352
train,17,13912,41,11310
train,18,11629,41,10424
train,19,9566,34,8479
train,20,11618,32,10337
train,21,11614,30,8553
train,22,10604,30,8801
train,23,7364,29,5511
test,0,1729,8,1279
test,1,1494,11,858
test,2,3114,13,1984
test,3,4009,12,3279
test,4,4390,13,3775
test,5,4451,15,3994
test,6,4899,18,4420
test,7,5740,16,5281
test,8,4777,16,4384
test,9,5410,15,4475
test,10,5186,15,4720
test,11,5577,16,4721
test,12,5423,23,4791
test,13,4915,16,3837
test,14,5400,16,4887
test,15,5350,17,4004
test,16,5395,15,4895
test,17,4942,17,3894
test,18,4500,17,3923
test,19,3618,14,3220
test,20,4266,14,3795
test,21,4317,12,3416
test,22,3758,13,2798
test,23,3285,13,2466
validate,0,1729,8,1279
validate,1,1494,11,858
validate,2,3114,13,1984
validate,3,4009,12,3279
validate,4,4390,13,3775
validate,5,4451,15,3994
validate,6,4899,18,4420
validate,7,5740,16,5281
validate,8,4777,16,4384
validate,9,5410,15,4475
validate,10,5186,15,4720
validate,11,5577,16,4721
validate,12,5423,23,4791
validate,13,4915,16,3837
validate,14,5400,16,4887
validate,15,5350,17,4004
validate,16,5395,15,4895
validate,17,4942,17,3894
validate,18,4500,17,3923
validate,19,3618,14,3220
validate,20,4266,14,3795
validate,21,4317,12,3416
validate,22,3758,13,2798
validate,23,3285,13,2466
