split,source,column,rows,missing,missing_pct,dtype
train,traffic,packet_id,287849,0,0,string
train,traffic,tr_id,287849,0,0,int64
train,traffic,unit_id,287849,0,0,int64
train,traffic,event_time,287849,0,0,datetime64[ns]
train,traffic,device_event_id,287849,0,0,int64
train,traffic,location_valid,287849,0,0,bool
train,traffic,gps_time,287849,16499,5.73182467,datetime64[ns]
train,traffic,lon,287849,16499,5.73182467,float64
train,traffic,lat,287849,16499,5.73182467,float64
train,traffic,alt,287849,16499,5.73182467,float64
train,traffic,speed,287849,16499,5.73182467,float64
train,traffic,heading,287849,16499,5.73182467,float64
train,traffic,receive_time,287849,0,0,datetime64[ns]
train,traffic,is_hist_data,287849,0,0,bool
train,schedule,tt_action_item_id,16674,0,0,int64
train,schedule,time_begin,16674,0,0,datetime64[ns]
train,schedule,time_fact_begin,16674,0,0,datetime64[ns]
train,schedule,order_date,16674,0,0,object
train,schedule,manual_fill,16674,0,0,bool
train,schedule,tr_id,16674,0,0,int64
train,schedule,geom,16674,0,0,object
train,schedule,building_address,16674,2925,17.5422814,object
train,points,sample_id,4434,0,0,string
train,points,tr_id,4434,0,0,int64
train,points,T,4434,0,0,datetime64[ns]
train,points,target_stop_id,4434,0,0,int64
train,points,target_time_begin,4434,0,0,datetime64[ns]
train,points,cur_dev_s,4434,0,0,float64
train,points,target_delay_s,4434,0,0,float64
train,points,target_class,4434,0,0,object
test,traffic,packet_id,105945,0,0,string
test,traffic,tr_id,105945,0,0,int64
test,traffic,unit_id,105945,0,0,int64
test,traffic,event_time,105945,0,0,datetime64[ns]
test,traffic,device_event_id,105945,0,0,int64
test,traffic,location_valid,105945,0,0,bool
test,traffic,gps_time,105945,6547,6.1796215,datetime64[ns]
test,traffic,lon,105945,6547,6.1796215,float64
test,traffic,lat,105945,6547,6.1796215,float64
test,traffic,alt,105945,6547,6.1796215,float64
test,traffic,speed,105945,6547,6.1796215,float64
test,traffic,heading,105945,6547,6.1796215,float64
test,traffic,receive_time,105945,0,0,datetime64[ns]
test,traffic,is_hist_data,105945,0,0,bool
test,schedule,tt_action_item_id,5558,0,0,int64
test,schedule,time_begin,5558,0,0,datetime64[ns]
test,schedule,time_fact_begin,5558,0,0,datetime64[ns]
test,schedule,order_date,5558,0,0,object
test,schedule,manual_fill,5558,0,0,bool
test,schedule,tr_id,5558,0,0,int64
test,schedule,geom,5558,0,0,object
test,schedule,building_address,5558,975,17.5422814,object
test,points,sample_id,353,0,0,string
test,points,tr_id,353,0,0,int64
test,points,T,353,0,0,datetime64[ns]
test,points,target_stop_id,353,0,0,int64
test,points,target_time_begin,353,0,0,datetime64[ns]
test,points,cur_dev_s,353,0,0,float64
test,points,target_delay_s,353,0,0,float64
test,points,target_class,353,0,0,object
validate,traffic,packet_id,105945,0,0,string
validate,traffic,tr_id,105945,0,0,int64
validate,traffic,unit_id,105945,0,0,int64
validate,traffic,event_time,105945,0,0,datetime64[ns]
validate,traffic,device_event_id,105945,0,0,int64
validate,traffic,location_valid,105945,0,0,bool
validate,traffic,gps_time,105945,6547,6.1796215,datetime64[ns]
validate,traffic,lon,105945,6547,6.1796215,float64
validate,traffic,lat,105945,6547,6.1796215,float64
validate,traffic,alt,105945,6547,6.1796215,float64
validate,traffic,speed,105945,6547,6.1796215,float64
validate,traffic,heading,105945,6547,6.1796215,float64
validate,traffic,receive_time,105945,0,0,datetime64[ns]
validate,traffic,is_hist_data,105945,0,0,bool
validate,schedule,tt_action_item_id,5558,0,0,int64
validate,schedule,time_begin,5558,0,0,datetime64[ns]
validate,schedule,order_date,5558,0,0,object
validate,schedule,manual_fill,5558,0,0,bool
validate,schedule,tr_id,5558,0,0,int64
validate,schedule,geom,5558,0,0,object
validate,schedule,building_address,5558,975,17.5422814,object
validate,points,sample_id,151,0,0,string
validate,points,tr_id,151,0,0,int64
validate,points,T,151,0,0,datetime64[ns]
validate,points,target_stop_id,151,0,0,int64
validate,points,target_time_begin,151,0,0,datetime64[ns]
validate,points,cur_dev_s,151,0,0,float64
