split,dimension,group,points,mae_model_s
train,cohort,all,1141,40.28906568861458
train,cohort,real,1141,40.28906568861458
train,class,early,170,53.50815988338896
train,class,ontime,731,30.959558064504986
train,class,late,240,59.341665939083185
train,hour,2,29,28.885206316636097
train,hour,3,51,37.28338399026447
train,hour,4,60,45.27174725114562
train,hour,5,44,55.81581006032689
train,hour,6,63,32.367554980897715
train,hour,7,72,39.50563395009809
train,hour,8,60,54.13939703641401
train,hour,9,57,33.89520750830632
train,hour,10,55,48.149118680844936
train,hour,11,66,40.60173560908397
train,hour,12,67,41.99458726040072
train,hour,13,59,38.279772294415146
train,hour,14,61,28.050625091219764
train,hour,15,70,42.56739453829698
train,hour,16,64,41.42545861896745
train,hour,17,61,49.5371902469338
train,hour,18,38,43.94844690659757
train,hour,19,23,51.07302153426978
train,hour,20,46,43.716620160162776
train,hour,21,42,29.024547826238145
train,hour,22,33,20.443476236230765
train,hour,23,20,24.066661197440624
test,cohort,all,353,43.716085988477964
test,cohort,real,353,43.716085988477964
test,class,early,49,52.58995819890745
test,class,ontime,218,33.753950520677414
test,class,late,86,63.91289754277415
test,hour,2,10,50.43720832754233
test,hour,3,16,30.297446012927328
test,hour,4,18,53.8052796681967
test,hour,5,12,28.402694561429627
test,hour,6,18,41.889655499322586
test,hour,7,24,63.66357312536244
test,hour,8,23,44.53780705404728
test,hour,9,15,58.02876673426508
test,hour,10,12,44.50764322042907
test,hour,11,24,28.23116988716951
test,hour,12,20,52.937538237899254
test,hour,13,24,47.665192812756096
test,hour,14,14,38.697927727053745
test,hour,15,20,37.78406484936772
test,hour,16,24,39.70526450057891
test,hour,17,17,41.450934125368924
test,hour,18,11,46.166826866350156
test,hour,19,12,49.5336661535733
test,hour,20,13,48.36128088298653
test,hour,21,12,39.86846641182513
test,hour,22,8,43.683728544600925
test,hour,23,6,4.725380128218313
