split,cohort,metric,n,missing_or_nonfinite,min,p01,p25,median,p75,p95,p99,max,mean
train,all,speed_kmh,271350,16499,0,0,0,3,21,49,99,368,13.4280803
train,all,receive_minus_event_s,287849,0,-276.132661,-17.0622966,0.989941,1.662622,2.427609,5.290717,31.025148,43927.4542,42.401295
train,all,event_minus_gps_s,271350,16499,-2041.83307,-2041.83307,-147.369989,0,246.194654,1723.51783,1998.2777,1998.2777,60.1124275
train,all,valid_ping_age_s,4433,1,0,0,2.13723652,5.75968182,10.771856,1038.00439,3354.51325,11451,148.32415
train,all,valid_pings_15m,4434,0,0,0,67,84,117,204,234.67,280,94.3128101
train,all,positive_event_gap_s,279320,0,0.000339,0.562102,3.71829375,9.407055,14,16,28,33978.926,11.4177098
train,all,horizon_s,4434,0,603.094276,604.882686,632.630011,660,702.880134,783.72022,892.663671,900,673.057943
train,all,target_delay_s,4434,0,-372,-230.67,-25,24,107,309,448.34,672,48.8897158
train,all,baseline_abs_error_s,4434,0,0,0,26,70,131,265.35,417.34,774,93.0324763
train,real,speed_kmh,99398,6547,0,0,0,2,22,96,99,368,15.0990261
train,real,receive_minus_event_s,105945,0,-276.132661,-17.4518047,0.910301,1.628351,2.405141,5.36419,43.2282402,43927.4542,110.941651
train,real,event_minus_gps_s,99398,6547,0,0,0,0,0,0,0,0,0
train,real,valid_ping_age_s,1141,0,0,0,2,5,10,1133,3100,11451,152.962314
train,real,valid_pings_15m,1141,0,0,0,67,83,117,204,234,280,93.9807187
train,real,target_delay_s,1141,0,-359,-207,-23,18,96,289,444.8,580,44.8510079
train,real,baseline_abs_error_s,1141,0,0,0,19,67,124,246,416.6,688,86.8378615
train,synthetic_candidate,speed_kmh,171952,9952,0,0,0,3.2,20.6,44.5,96.6,310,12.462179
train,synthetic_candidate,receive_minus_event_s,181904,0,-276.132661,-16.5371239,1.0329105,1.6830555,2.44156775,5.247105,27.3136657,22497.402,2.48184311
train,synthetic_candidate,event_minus_gps_s,171952,9952,-2041.83307,-2041.83307,-698.837639,66.8627635,1314.98903,1840.80709,1998.2777,1998.2777,94.8608169
train,synthetic_candidate,valid_ping_age_s,3292,1,0.010966932,0.111114104,2.73110612,5.83307094,10.8866362,1019.81097,3532.85825,6918.90572,146.716573
train,synthetic_candidate,valid_pings_15m,3293,0,0,0,67,84,118,204,235,276,94.4278773
train,synthetic_candidate,target_delay_s,3293,0,-372,-235.08,-26,26,109,314,447.16,672,50.2890981
train,synthetic_candidate,baseline_abs_error_s,3293,0,0,2,29,71,134,271.4,416.16,774,95.1788643
test,all,speed_kmh,99398,6547,0,0,0,2,22,96,99,368,15.0990261
test,all,receive_minus_event_s,105945,0,-276.132661,-17.4518047,0.910301,1.628351,2.405141,5.36419,43.2282402,43927.4542,110.941651
test,all,event_minus_gps_s,99398,6547,0,0,0,0,0,0,0,0,0
test,all,valid_ping_age_s,353,0,0,0,2,5,11,1155,4174.36,4882,182.082153
test,all,valid_pings_15m,353,0,0,0,67,84,119,191.2,222.92,274,93.3314448
test,all,positive_event_gap_s,102988,0,0.000339,0.57536317,4,10,15,16,66.0172443,33978.926,13.7257612
test,all,horizon_s,353,0,660,660,660,660,720,840,900,900,693.654391
test,all,target_delay_s,353,0,-276,-204.56,-26,26,118,315.8,429.88,578,55.6543909
test,all,baseline_abs_error_s,353,0,0,0,26,71,139,275,384.48,519,93.3597734
test,real,speed_kmh,99398,6547,0,0,0,2,22,96,99,368,15.0990261
test,real,receive_minus_event_s,105945,0,-276.132661,-17.4518047,0.910301,1.628351,2.405141,5.36419,43.2282402,43927.4542,110.941651
test,real,event_minus_gps_s,99398,6547,0,0,0,0,0,0,0,0,0
test,real,valid_ping_age_s,353,0,0,0,2,5,11,1155,4174.36,4882,182.082153
test,real,valid_pings_15m,353,0,0,0,67,84,119,191.2,222.92,274,93.3314448
test,real,target_delay_s,353,0,-276,-204.56,-26,26,118,315.8,429.88,578,55.6543909
test,real,baseline_abs_error_s,353,0,0,0,26,71,139,275,384.48,519,93.3597734
validate,all,speed_kmh,99398,6547,0,0,0,2,22,96,99,368,15.0990261
validate,all,receive_minus_event_s,105945,0,-276.132661,-17.4518047,0.910301,1.628351,2.405141,5.36419,43.2282402,43927.4542,110.941651
validate,all,event_minus_gps_s,99398,6547,0,0,0,0,0,0,0,0,0
validate,all,valid_ping_age_s,151,0,0,0,2,6,12,280,850.5,1137,49.1854305
validate,all,valid_pings_15m,151,0,0,4,67.5,80,129,201,226.5,236,98.7152318
validate,all,positive_event_gap_s,102988,0,0.000339,0.57536317,4,10,15,16,66.0172443,33978.926,13.7257612
validate,all,horizon_s,151,0,660,660,660,660,720,840,900,900,692.582781
validate,real,speed_kmh,99398,6547,0,0,0,2,22,96,99,368,15.0990261
validate,real,receive_minus_event_s,105945,0,-276.132661,-17.4518047,0.910301,1.628351,2.405141,5.36419,43.2282402,43927.4542,110.941651
validate,real,event_minus_gps_s,99398,6547,0,0,0,0,0,0,0,0,0
validate,real,valid_ping_age_s,151,0,0,0,2,6,12,280,850.5,1137,49.1854305
validate,real,valid_pings_15m,151,0,0,4,67.5,80,129,201,226.5,236,98.7152318
