split,metric,count,denominator,pct
train,invalid_location,43875,287849,15.2423667
train,missing_navigation,16499,287849,5.73182467
train,speed_gt_120,70,287849,0.0243183058
train,receive_before_event,10168,287849,3.53240762
train,gps_after_event,85050,287849,29.5467415
train,invalid_with_coordinates,27376,287849,9.51054199
train,valid_missing_coordinates,0,287849,0
train,speed_negative,0,287849,0
train,coordinates_outside_global_bounds,0,287849,0
train,heading_outside_0_360,3,287849,0.0010422131
train,receive_lag_gt_60s,1355,287849,0.470732919
train,extra_vehicle_time_duplicates,8473,287849,2.94355721
train,positive_gap_gt_300s,128,287849,0.0444677591
test,invalid_location,16849,105945,15.9035349
test,missing_navigation,6547,105945,6.1796215
test,speed_gt_120,58,105945,0.0547453868
test,receive_before_event,6434,105945,6.07296239
test,gps_after_event,0,105945,0
test,invalid_with_coordinates,10302,105945,9.72391335
test,valid_missing_coordinates,0,105945,0
test,speed_negative,0,105945,0
test,coordinates_outside_global_bounds,0,105945,0
test,heading_outside_0_360,1,105945,0.000943885979
test,receive_lag_gt_60s,847,105945,0.799471424
test,extra_vehicle_time_duplicates,2927,105945,2.76275426
test,positive_gap_gt_300s,60,105945,0.0566331587
validate,invalid_location,16849,105945,15.9035349
validate,missing_navigation,6547,105945,6.1796215
validate,speed_gt_120,58,105945,0.0547453868
validate,receive_before_event,6434,105945,6.07296239
validate,gps_after_event,0,105945,0
validate,invalid_with_coordinates,10302,105945,9.72391335
validate,valid_missing_coordinates,0,105945,0
validate,speed_negative,0,105945,0
validate,coordinates_outside_global_bounds,0,105945,0
validate,heading_outside_0_360,1,105945,0.000943885979
validate,receive_lag_gt_60s,847,105945,0.799471424
validate,extra_vehicle_time_duplicates,2927,105945,2.76275426
validate,positive_gap_gt_300s,60,105945,0.0566331587
