split,invalid_location,missing_navigation,speed_gt_120,receive_before_event,gps_after_event,rows
train,False,False,False,False,False,157952
train,False,False,False,False,True,76283
train,True,False,False,False,False,19560
train,True,True,False,False,False,16499
train,False,False,False,True,False,8358
train,True,False,False,False,True,7341
train,False,False,False,True,True,1329
train,True,False,False,True,False,365
train,True,False,False,True,True,92
train,False,False,True,False,False,37
train,False,False,True,True,False,15
train,True,False,True,False,False,7
train,True,False,True,True,False,6
train,True,False,True,True,True,3
train,True,False,True,False,True,2
test,False,False,False,False,False,82841
test,True,False,False,False,False,10083
test,True,True,False,False,False,6547
test,False,False,False,True,False,6203
test,True,False,False,True,False,213
test,False,False,True,False,False,37
test,False,False,True,True,False,15
test,True,False,True,False,False,3
test,True,False,True,True,False,3
validate,False,False,False,False,False,82841
validate,True,False,False,False,False,10083
validate,True,True,False,False,False,6547
validate,False,False,False,True,False,6203
validate,True,False,False,True,False,213
validate,False,False,True,False,False,37
validate,False,False,True,True,False,15
validate,True,False,True,False,False,3
validate,True,False,True,True,False,3
