split_a,split_b,entity,unique_a,unique_b,intersection,union
train,test,packet_id,287849,105945,105945,287849
train,test,tt_action_item_id,16674,5558,5558,16674
train,test,sample_id,4434,353,0,4787
train,test,target_stop_id,4434,353,0,4787
train,validate,packet_id,287849,105945,105945,287849
train,validate,tt_action_item_id,16674,5558,5558,16674
train,validate,sample_id,4434,151,0,4585
train,validate,target_stop_id,4434,151,0,4585
test,validate,packet_id,105945,105945,105945,105945
test,validate,tt_action_item_id,5558,5558,5558,5558
test,validate,sample_id,353,151,0,504
test,validate,target_stop_id,353,151,0,504
